origin_cell,dest_cell,flow
897a8dcac53ffff,897a8dc120fffff,24
897a8dcac5bffff,897a8dc120bffff,22
897a8dc120bffff,897a8dcac5bffff,21
897a8dcaccfffff,897a8dc127bffff,19
897a8dca1b3ffff,897a8dc1223ffff,18
897a8dca1a3ffff,897a8dc1273ffff,17
897a8dc1223ffff,897a8dca1b3ffff,16
897a8dc120fffff,897a8dcac53ffff,16
897a8dca127ffff,897a8dc120bffff,14
897a8dc1273ffff,897a8dca1a3ffff,13
897a8dc1273ffff,897a8dcac57ffff,13
897a8dc120bffff,897a8dca1a3ffff,12
897a8dc120bffff,897a8dcaccfffff,11
897a8dca1a3ffff,897a8dc127bffff,10
897a8dcac57ffff,897a8dc1273ffff,10
897a8dca1a3ffff,897a8dc1247ffff,9
897a8dc123bffff,897a8dc120fffff,8
897a8dcacd7ffff,897a8dcaccfffff,8
897a8dc1247ffff,897a8dcaccfffff,7
897a8dca1a3ffff,897a8dc120fffff,7
897a8dc120bffff,897a8dcac53ffff,7
897a8dcac53ffff,897a8dc1247ffff,7
897a8dc1247ffff,897a8dca1a3ffff,7
897a8dc123bffff,897a8dca1a3ffff,7
897a8dca1a3ffff,897a8dc120bffff,7
897a8dc1277ffff,897a8dc1273ffff,6
897a8dcaccfffff,897a8dc1247ffff,6
897a8dc127bffff,897a8dca1a3ffff,6
897a8dc1223ffff,897a8dca1b7ffff,6
897a8dc120bffff,897a8dc12afffff,6
897a8dc1247ffff,897a8dcac57ffff,6
897a8dc1203ffff,897a8dcac53ffff,6
897a8dcac9bffff,897a8dca1a3ffff,6
897a8dc134bffff,897a8dcacd7ffff,6
897a8dc1223ffff,897a8dc123bffff,6
897a8dca1a3ffff,897a8dcac53ffff,6
897a8dc127bffff,897a8dcac17ffff,6
897a8dc123bffff,897a8dc1267ffff,5
897a8dcaccfffff,897a8dc120bffff,5
897a8dc127bffff,897a8dcaccfffff,5
897a8dcaccfffff,897a8dc1227ffff,5
897a8dcacd7ffff,897a8dc1247ffff,5
