Budget,Total demand,K,Penalty coefficient,Capacity upperbound,Total Setup Cost,Avg Station Distance,Subway Station Count,Subway Avg Capacity,Non-Subway Station Count,Non-Subway Avg Capacity,Bike Utilization,Bike Only Flow,Bike PT Flow,Walk PT Flow,Avg Travel Time by Bike Only Mode,Avg Travel Time by Bike PT Mode,Avg Travel Time by Walk PT  Mode,Demand Satisfaction Rate,Primary Path Usage Rate
4000,2000,1,1,10,4000.0,4.190849405594248,3,8.666666666666666,14,3.0,2.888888888888889,30.0,123.0,37.0,9.087955953096165,16.72304186737985,9.015637359301284,0.095,1.0
6000,2000,1,1,10,6000.0,3.5091382526714483,5,7.8,20,3.1,2.8795180722891565,69.0,164.0,37.0,8.11924524524433,16.04861222526083,9.015637359301284,0.135,1.0
8000,2000,1,1,10,8000.0,3.812365411326712,6,9.0,26,3.230769230769231,2.9210526315789473,99.0,218.0,37.0,8.31524996227527,16.543771510783973,9.015637359301284,0.177,1.0
10000,2000,1,1,10,9990.0,4.212240529432732,7,8.714285714285714,32,3.53125,2.9379310344827587,125.0,275.0,37.0,8.244959053605408,17.500404086438884,9.015637359301284,0.2185,1.0
12000,2000,1,1,10,12000.0,4.678481869439858,9,8.222222222222221,38,3.4473684210526314,2.954285714285714,147.0,330.0,37.0,8.273071247048312,17.398181545801744,9.015637359301284,0.257,1.0
14000,2000,1,1,10,14000.0,4.786460539848698,9,9.333333333333334,44,3.6136363636363638,2.8947368421052633,177.0,372.0,37.0,8.248771195031145,17.582854645434182,9.015637359301284,0.293,1.0
4000,2000,2,1,10,4000.0,4.8990849568684,3,8.333333333333334,14,2.857142857142857,2.9454545454545453,29.0,127.0,37.0,8.476064236651291,17.976649022510767,9.015637359301284,0.0965,0.927461139896373
6000,2000,2,1,10,6000.0,4.143622077147756,5,8.2,20,3.15,2.9878048780487805,62.0,175.0,37.0,8.93404946790047,17.520980411647184,9.015637359301284,0.137,0.8868613138686131
8000,2000,2,1,10,8000.0,3.934311934051548,6,8.333333333333334,26,3.3846153846153846,2.973684210526316,93.0,229.0,37.0,8.461846944691052,16.98558172056143,9.015637359301284,0.1795,0.8746518105849582
10000,2000,2,1,10,10000.0,3.993022224812455,6,9.833333333333334,33,3.4242424242424243,2.9452054794520546,134.0,272.0,37.0,8.43619067923603,17.13665738040093,9.015637359301284,0.2215,0.871331828442438
12000,2000,2,1,10,12000.0,4.368494950146215,8,9.0,38,3.4473684210526314,2.9441340782122905,163.0,325.0,37.0,8.297305598849963,17.648432590391344,9.015637359301284,0.2625,0.8152380952380952
14000,2000,2,1,10,14000.0,4.728325164000402,9,9.444444444444445,44,3.659090909090909,2.9423076923076925,192.0,370.0,37.0,8.3573428188851,17.83653897299433,9.015637359301284,0.2995,0.8614357262103506
4000,2000,3,1,10,4000.0,4.446185943299955,3,9.0,13,3.230769230769231,2.912280701754386,26.0,131.0,37.0,8.873993997477255,17.48562424276079,9.015637359301284,0.097,0.8402061855670103
6000,2000,3,1,10,5990.0,4.161389939554366,5,8.2,19,3.473684210526316,3.0,54.0,185.0,37.0,8.757670618942107,17.679747571597026,9.015637359301284,0.138,0.8442028985507246
8000,2000,3,1,10,8000.0,3.8583416558164947,6,8.333333333333334,26,3.3846153846153846,2.9473684210526314,96.0,227.0,37.0,8.525372969148957,16.556693458486677,9.015637359301284,0.18,0.8111111111111111
10000,2000,3,1,10,9990.0,4.0636988247893,7,8.714285714285714,31,3.6774193548387095,2.9527027027027026,131.0,276.0,37.0,8.667128419294865,17.28789662073103,9.015637359301284,0.222,0.8333333333333334
12000,2000,3,1,10,12000.0,4.362274490583648,8,9.0,37,3.6486486486486487,2.9447513812154695,156.0,334.0,37.0,8.533877250846402,17.482029671429753,9.015637359301284,0.2635,0.8007590132827325
